Date,title,category,account,amount,type
3/5/2024,AtR,Transport,Metro Card,35,EXPENSE
3/5/2024,Bus,Transport,Cash,10,EXPENSE
3/5/2024,RtA,Transport,Metro Card,35,EXPENSE
3/4/2024,Snacks,Food & Drinks,Salary Bank,20,EXPENSE
3/4/2024,Snacks,Food & Drinks,Salary Bank,25,EXPENSE
3/4/2024,RtA,Transport,Cash,35,EXPENSE
3/4/2024,AtR,Transport,Metro Card,35,EXPENSE
3/4/2024,Baba,Bills & Fees,Cash,80,EXPENSE
3/4/2024,Recharge,,Salary Bank,0,TRANSFER
3/3/2024,Snacks,Food & Drinks,Salary Bank,60,EXPENSE
3/3/2024,Laptop fixes,Bills & Fees,Salary Bank,150,EXPENSE
3/3/2024,Juice,Food & Drinks,Salary Bank,100,EXPENSE
3/3/2024,Snacks,Food & Drinks,Salary Bank,150,EXPENSE
3/2/2024,Cab,Bills & Fees,Salary Bank,419,EXPENSE
3/2/2024,Can,Bills & Fees,Salary Bank,476,EXPENSE
3/2/2024,Dinner,Bills & Fees,Salary Bank,"2,154.00",EXPENSE
3/2/2024,Gym,Bills & Fees,Salary Bank,"1,000.00",EXPENSE
3/1/2024,Snacks,Food & Drinks,Salary Bank,60,EXPENSE
3/1/2024,AtR,Transport,Metro Card,35,EXPENSE
3/1/2024,RtA,Transport,Metro Card,35,EXPENSE
3/1/2024,Baba,Bills & Fees,Salary Bank,"5,000.00",EXPENSE
2/29/2024,Fancode,Bills & Fees,Salary Bank,599,EXPENSE
2/29/2024,Snacks,Food & Drinks,Salary Bank,60,EXPENSE
2/29/2024,Salary,,Salary Bank,"22,700.00",INCOME
2/29/2024,Adjust balance,,Savings Bank,45.02,EXPENSE
2/29/2024,Adjust balance,,Savings Bank,0,INCOME
2/29/2024,Petrol,Transport,Savings Bank,100,EXPENSE
2/29/2024,Baba,Bills & Fees,Cash,100,EXPENSE
2/29/2024,Maa,Bills & Fees,Cash,150,EXPENSE
2/28/2024,Bus,Transport,Cash,10,EXPENSE
2/28/2024,RtA,Transport,Metro Card,35,EXPENSE
2/28/2024,Snacks,Food & Drinks,Savings Bank,60,EXPENSE
2/28/2024,AtR,Transport,Cash,35,EXPENSE
2/28/2024,Adjust balance,,Cash,15,EXPENSE
2/27/2024,Bus,Transport,Cash,10,EXPENSE
2/27/2024,RtA,Transport,Metro Card,35,EXPENSE
2/27/2024,Shawarma 🌯,Food & Drinks,Savings Bank,140,EXPENSE
2/27/2024,Bus,Transport,Cash,10,EXPENSE
2/27/2024,Snacks,Food & Drinks,Savings Bank,35,EXPENSE
2/27/2024,AtR,Transport,Metro Card,35,EXPENSE
2/26/2024,Withdraw,,Savings Bank,0,TRANSFER
2/26/2024,Bus,Transport,Cash,10,EXPENSE
2/26/2024,Snacks,Food & Drinks,Savings Bank,60,EXPENSE
2/26/2024,Recharge,,Savings Bank,0,TRANSFER
2/26/2024,Adjust balance,,Savings Bank,940,INCOME
2/26/2024,Adjust balance,,Cash,10,EXPENSE
2/26/2024,Bus,Transport,Cash,10,EXPENSE
2/26/2024,AtR,Transport,Metro Card,35,EXPENSE
2/26/2024,RtA,Transport,Metro Card,35,EXPENSE
2/26/2024,Baba,Bills & Fees,Cash,200,EXPENSE
2/26/2024,Maa,Bills & Fees,Cash,50,EXPENSE
2/24/2024,Snacks,Food & Drinks,Cash,50,EXPENSE
2/24/2024,Snacks,Food & Drinks,Cash,35,EXPENSE
2/23/2024,Snacks,Food & Drinks,Cash,25,EXPENSE
2/23/2024,Bus,Transport,Cash,10,EXPENSE
2/23/2024,RtA,Transport,Metro Card,35,EXPENSE
2/23/2024,Bus,Transport,Cash,10,EXPENSE
2/23/2024,AtR,Transport,Metro Card,35,EXPENSE
2/22/2024,Bb,Bills & Fees,Savings Bank,50,EXPENSE
2/22/2024,Bus,Transport,Cash,10,EXPENSE
2/22/2024,RtA,Transport,Metro Card,35,EXPENSE
2/22/2024,Stonks,Bills & Fees,Savings Bank,180,EXPENSE
2/22/2024,Bus,Transport,Cash,10,EXPENSE
2/22/2024,AtR,Transport,Metro Card,35,EXPENSE
2/21/2024,Snacks,Food & Drinks,Savings Bank,30,EXPENSE
2/21/2024,Bus,Transport,Cash,10,EXPENSE
2/21/2024,RtA,Transport,Metro Card,35,EXPENSE
2/21/2024,Recharge,Bills & Fees,Savings Bank,259,EXPENSE
2/20/2024,Play store,Bills & Fees,Savings Bank,9,EXPENSE
2/20/2024,Bus,Transport,Cash,10,EXPENSE
2/20/2024,RtA,Transport,Metro Card,35,EXPENSE
2/20/2024,AtR,Transport,Metro Card,35,EXPENSE
2/19/2024,Bus,Transport,Cash,10,EXPENSE
2/19/2024,RtA,Transport,Metro Card,35,EXPENSE
2/19/2024,AtR,Transport,Savings Bank,35,EXPENSE
2/19/2024,Reacharge,,Savings Bank,0,TRANSFER
2/18/2024,Biryani,,Savings Bank,0,TRANSFER
2/18/2024,Biryani 🍚,Food & Drinks,Savings Bank,250,EXPENSE
2/18/2024,Juice,Food & Drinks,Savings Bank,40,EXPENSE
2/18/2024,Snacks,Food & Drinks,Cash,40,EXPENSE
2/18/2024,Book,Bills & Fees,Savings Bank,150,EXPENSE
2/18/2024,Entry fee,Bills & Fees,Cash,50,EXPENSE
2/17/2024,Bus pass,Bills & Fees,Savings Bank,430,EXPENSE
2/17/2024,Juice,Food & Drinks,Savings Bank,20,EXPENSE
2/17/2024,Adjust balance,,Cash,16,EXPENSE
2/17/2024,Adjust balance,,Savings Bank,130,INCOME
2/16/2024,RtA,Transport,Metro Card,35,EXPENSE
2/16/2024,AtR,Transport,Metro Card,35,EXPENSE
2/15/2024,RtA,Transport,Metro Card,35,EXPENSE
2/14/2024,Snack,Food & Drinks,Savings Bank,100,EXPENSE
2/14/2024,Petrol,Transport,Savings Bank,100,EXPENSE
2/14/2024,Petrol,Transport,Savings Bank,100,EXPENSE
2/13/2024,RtA,Transport,Metro Card,35,EXPENSE
2/13/2024,Recharge,,Savings Bank,0,TRANSFER
2/13/2024,AtR,Transport,Metro Card,35,EXPENSE
2/13/2024,Bus,Transport,Cash,10,EXPENSE
2/12/2024,RtA,Transport,Metro Card,35,EXPENSE
2/12/2024,Bus,Transport,Cash,10,EXPENSE
2/12/2024,Adjust balance,,Metro Card,2,INCOME
2/11/2024,Snacks,Food & Drinks,Savings Bank,130,EXPENSE
2/10/2024,Snacks,Food & Drinks,Savings Bank,45,EXPENSE
2/10/2024,Auto,Transport,Cash,20,EXPENSE
2/9/2024,Snacks,Food & Drinks,Savings Bank,145,EXPENSE
2/9/2024,Pants,Bills & Fees,Savings Bank,998,EXPENSE
2/9/2024,,,Savings Bank,2,INCOME
2/8/2024,Ice cream,Bills & Fees,Savings Bank,102,EXPENSE
2/8/2024,Pizza,Food & Drinks,Savings Bank,247,EXPENSE
2/8/2024,,,Savings Bank,2,EXPENSE
2/8/2024,Shirt,Bills & Fees,Savings Bank,999,EXPENSE
2/8/2024,Pant,Bills & Fees,Savings Bank,799,EXPENSE
2/7/2024,RtA,Transport,Savings Bank,35,EXPENSE
2/7/2024,UPI lite,Bills & Fees,Savings Bank,1,EXPENSE
2/6/2024,Bus Pass,Transport,Savings Bank,440,EXPENSE
2/6/2024,Baba,Bills & Fees,Savings Bank,"1,000.00",EXPENSE
2/5/2024,Withdraw,,Savings Bank,0,TRANSFER
2/5/2024,Snacks,Food & Drinks,Savings Bank,90,EXPENSE
2/5/2024,Exam,Bills & Fees,Savings Bank,400,EXPENSE
2/5/2024,Adjust balance,,Cash,40,EXPENSE
2/3/2024,Stonks,Bills & Fees,Savings Bank,4.45,INCOME
2/3/2024,Baba birthday,Bills & Fees,Savings Bank,839,EXPENSE
2/3/2024,Auto,Transport,Savings Bank,20,EXPENSE
2/3/2024,Baba,Bills & Fees,Savings Bank,"2,000.00",EXPENSE
2/2/2024,Petrol,Transport,Savings Bank,200,EXPENSE
2/2/2024,Book,Bills & Fees,Savings Bank,299,EXPENSE
2/1/2024,Netflix,Bills & Fees,Savings Bank,99,EXPENSE
2/1/2024,Snacks,Food & Drinks,Savings Bank,40,EXPENSE
2/1/2024,Petrol,Bills & Fees,Savings Bank,100,EXPENSE
2/1/2024,Chotu,Bills & Fees,Savings Bank,100,EXPENSE
2/1/2024,Gym,Bills & Fees,Savings Bank,"1,000.00",EXPENSE
1/31/2024,Milk,Bills & Fees,Savings Bank,88,EXPENSE
1/31/2024,Petrol,Transport,Savings Bank,100,EXPENSE
1/31/2024,Sid,Bills & Fees,Savings Bank,200,EXPENSE
1/31/2024,Baba,Bills & Fees,Savings Bank,"5,000.00",EXPENSE
1/31/2024,Snacks,Food & Drinks,Savings Bank,60,EXPENSE
1/31/2024,Chotu,Bills & Fees,Savings Bank,100,INCOME
1/31/2024,Petrol,Bills & Fees,Savings Bank,100,EXPENSE
1/31/2024,Salary,Bills & Fees,Savings Bank,"22,700.00",INCOME
1/30/2024,Baba,Bills & Fees,Savings Bank,100,EXPENSE
1/30/2024,Sid,Bills & Fees,Savings Bank,200,INCOME
1/30/2024,Oil,Bills & Fees,Savings Bank,100,EXPENSE
1/29/2024,Baba,Bills & Fees,Savings Bank,100,INCOME
1/29/2024,RtA,Transport,Savings Bank,35,EXPENSE
1/29/2024,Tire,Bills & Fees,Savings Bank,700,EXPENSE
1/27/2024,Adjust balance,,Cash,26,INCOME
1/27/2024,Petrol,Bills & Fees,Savings Bank,250,EXPENSE
1/27/2024,Noodles,Food & Drinks,Savings Bank,60,EXPENSE
1/27/2024,Xerox,Bills & Fees,Savings Bank,5,EXPENSE
1/27/2024,Xerox,Bills & Fees,Savings Bank,27,EXPENSE
1/26/2024,Snacks,Food & Drinks,Savings Bank,50,EXPENSE
1/25/2024,Snacks,Food & Drinks,Savings Bank,120,EXPENSE
1/24/2024,AtR,Transport,Savings Bank,35,EXPENSE
1/24/2024,Adjust Balance,,Savings Bank,1,EXPENSE
1/24/2024,License,Bills & Fees,Savings Bank,300,EXPENSE
1/23/2024,Snacks,Food & Drinks,Savings Bank,115,EXPENSE
1/22/2024,Grand original,Bills & Fees,Savings Bank,30,EXPENSE
1/21/2024,Shampoo,Bills & Fees,Savings Bank,4,EXPENSE
1/21/2024,Haircut,Bills & Fees,Savings Bank,150,EXPENSE
1/20/2024,Recharge,Bills & Fees,Savings Bank,259,EXPENSE
1/20/2024,Auto,Transport,Cash,20,EXPENSE
1/18/2024,Auto,Transport,Cash,20,EXPENSE
1/18/2024,Snacks,Food & Drinks,Savings Bank,111,EXPENSE
1/16/2024,Juice,Food & Drinks,Savings Bank,20,EXPENSE
1/16/2024,Shawarma 🌯,Food & Drinks,Savings Bank,130,EXPENSE
1/16/2024,Bike,Transport,Savings Bank,30,EXPENSE
1/16/2024,Auto,Transport,Cash,20,EXPENSE
1/16/2024,Rent,Bills & Fees,Savings Bank,"3,500.00",EXPENSE
1/15/2024,Juice,Food & Drinks,Savings Bank,75,EXPENSE
1/14/2024,Recharge,Bills & Fees,Savings Bank,0.9,EXPENSE
1/13/2024,Snack,Transport,Savings Bank,30,EXPENSE
1/13/2024,Snacks,Bills & Fees,Savings Bank,60,EXPENSE
1/13/2024,Auto,Transport,Cash,20,EXPENSE
1/12/2024,RtA,Transport,Savings Bank,35,EXPENSE
1/12/2024,Burger AM,Food & Drinks,Savings Bank,99,EXPENSE
1/12/2024,Breakfast,Food & Drinks,Savings Bank,30,EXPENSE
1/11/2024,Aloo bhujia,Food & Drinks,Savings Bank,10,EXPENSE
1/11/2024,Adjust balance,,Cash,16,INCOME
1/11/2024,Something,,Cash,5,EXPENSE
1/11/2024,Stonks,Bills & Fees,Savings Bank,400,EXPENSE
1/11/2024,Bus,Transport,Cash,10,EXPENSE
1/11/2024,AtR,Transport,Metro Card,35,EXPENSE
1/10/2024,AtR,Transport,Metro Card,35,EXPENSE
1/10/2024,Auto,Transport,Savings Bank,20,EXPENSE
1/9/2024,Sid PayUp,Bills & Fees,Savings Bank,200,EXPENSE
1/9/2024,Adjust balance,,Savings Bank,50.22,EXPENSE
1/9/2024,Adjust balance,,Cash,20,EXPENSE
1/9/2024,Sid PayUp,Bills & Fees,Savings Bank,200,INCOME
1/9/2024,RtA,Transport,Savings Bank,35,EXPENSE
1/9/2024,Recharge,,Savings Bank,0,TRANSFER
1/9/2024,Bus,Transport,Cash,20,EXPENSE
1/8/2024,Payup,Food & Drinks,Savings Bank,280,EXPENSE
1/8/2024,Scholarship,Bills & Fees,Savings Bank,40,EXPENSE
1/7/2024,Juice,Food & Drinks,Cash,25,EXPENSE
1/7/2024,Gala nyt,Bills & Fees,Savings Bank,600,EXPENSE
1/7/2024,Parking,Bills & Fees,Savings Bank,15,EXPENSE
1/7/2024,Stationary,Bills & Fees,Savings Bank,72,EXPENSE
1/6/2024,Auto,Transport,Cash,20,EXPENSE
1/6/2024,Bus,Transport,Cash,10,EXPENSE
1/6/2024,Auto,Transport,Cash,20,EXPENSE
1/4/2024,Snacks,Food & Drinks,Savings Bank,60,EXPENSE
1/4/2024,Auto,Transport,Cash,20,EXPENSE
1/2/2024,Auto,Transport,Cash,20,EXPENSE
1/2/2024,Snacks,Food & Drinks,Savings Bank,50,EXPENSE
1/2/2024,Auto,Transport,Savings Bank,20,EXPENSE
1/2/2024,Bus,Transport,Cash,10,EXPENSE
1/1/2024,Cake,Food & Drinks,Savings Bank,300,EXPENSE
1/1/2024,Party,Bills & Fees,Savings Bank,350,EXPENSE
12/30/2023,Breakfast,Food & Drinks,Savings Bank,30,EXPENSE
12/29/2023,Goje Payback,Bills & Fees,Savings Bank,30,INCOME
12/29/2023,Snacks,Food & Drinks,Savings Bank,100,EXPENSE
12/29/2023,Help,,Cash,0,TRANSFER
12/29/2023,Bus,Transport,Cash,10,EXPENSE
12/29/2023,Auto,Transport,Cash,20,EXPENSE
12/28/2023,Salary,Bills & Fees,Savings Bank,"3,130.00",INCOME
12/28/2023,Breakfast,Food & Drinks,Savings Bank,30,EXPENSE
12/27/2023,Auto,Transport,Savings Bank,20,EXPENSE
12/27/2023,Auto,Transport,Cash,20,EXPENSE
12/27/2023,Stationary,Bills & Fees,Savings Bank,35,EXPENSE
12/27/2023,Bus,Transport,Cash,10,EXPENSE
12/26/2023,Snacks,Food & Drinks,Savings Bank,30,EXPENSE
12/26/2023,Lunch,Food & Drinks,Savings Bank,70,EXPENSE
12/26/2023,Adjust balance,,Cash,45,EXPENSE
12/26/2023,Breakfast,Food & Drinks,Savings Bank,35,EXPENSE
12/25/2023,Bread,Food & Drinks,Savings Bank,70,EXPENSE
12/25/2023,Lunch,Food & Drinks,Savings Bank,220,EXPENSE
12/25/2023,Tea,Food & Drinks,Savings Bank,20,EXPENSE
12/25/2023,Water,Food & Drinks,Savings Bank,20,EXPENSE
12/25/2023,Breakfast,Food & Drinks,Savings Bank,60,EXPENSE
12/25/2023,Breakfast,Food & Drinks,Savings Bank,40,EXPENSE
12/25/2023,Chicken keema,Food & Drinks,Savings Bank,187.2,EXPENSE
12/25/2023,Interest,,Savings Bank,30,INCOME
12/24/2023,Breakfast,Food & Drinks,Savings Bank,30,EXPENSE
12/24/2023,Coffee,Food & Drinks,Savings Bank,4,EXPENSE
12/24/2023,Coffee,Food & Drinks,Cash,10,EXPENSE
12/23/2023,Recharge,Bills & Fees,Savings Bank,259,EXPENSE
12/22/2023,Snacks,Food & Drinks,Savings Bank,60,EXPENSE
12/22/2023,Payup,Bills & Fees,Cash,200,INCOME
12/22/2023,Payup,Bills & Fees,Savings Bank,700,INCOME
12/22/2023,Auto,Transport,Savings Bank,20,EXPENSE
12/22/2023,Ticket refund,Bills & Fees,Savings Bank,170.56,INCOME
12/22/2023,Juice,Food & Drinks,Savings Bank,130,EXPENSE
12/22/2023,Payup,Food & Drinks,Savings Bank,40,INCOME
12/22/2023,Pizza,Food & Drinks,Savings Bank,170,EXPENSE
12/21/2023,Tickets,Bills & Fees,Savings Bank,376,EXPENSE
12/21/2023,Gift 🎁,Bills & Fees,Savings Bank,"1,550.00",EXPENSE
12/21/2023,Stonks Return,Bills & Fees,Savings Bank,83.66,INCOME
12/20/2023,Shawarma 🌯,Food & Drinks,Savings Bank,330,EXPENSE
12/20/2023,Snacks,Food & Drinks,Savings Bank,55,EXPENSE
12/20/2023,Recharge,Bills & Fees,Savings Bank,257.9,EXPENSE
12/20/2023,Bus,Transport,Cash,10,EXPENSE
12/20/2023,Auto,Transport,Cash,20,EXPENSE
12/20/2023,Snacks,Food & Drinks,Savings Bank,35,EXPENSE
12/19/2023,Cashback,Bills & Fees,Savings Bank,3,INCOME
12/18/2023,Adjust balance,,Cash,300,INCOME
12/18/2023,Adjust balance,,Savings Bank,2,INCOME
12/18/2023,Weekend,Food & Drinks,Savings Bank,290,EXPENSE
12/16/2023,Card maintenance,Bills & Fees,Savings Bank,295,EXPENSE
12/16/2023,Bus Pass,Transport,Savings Bank,430,EXPENSE
12/16/2023,Auto,Transport,Savings Bank,20,EXPENSE
12/15/2023,Goje Payback,Food & Drinks,Cash,30,INCOME
12/15/2023,Sid PayUp,Food & Drinks,Savings Bank,40,INCOME
12/15/2023,Juice,Food & Drinks,Savings Bank,40,EXPENSE
12/15/2023,Snacks,Food & Drinks,Savings Bank,105,EXPENSE
12/15/2023,Auto,Transport,Cash,20,EXPENSE
12/15/2023,Snacks,Food & Drinks,Cash,70,EXPENSE
12/14/2023,Snacks,Food & Drinks,Savings Bank,30,EXPENSE
12/13/2023,Biryani,Bills & Fees,Savings Bank,520,EXPENSE
12/13/2023,Bus,Transport,Cash,10,EXPENSE
12/13/2023,Bus,Transport,Cash,10,EXPENSE
12/13/2023,Auto,Transport,Cash,20,EXPENSE
12/12/2023,Auto,Transport,Cash,20,EXPENSE
12/12/2023,Bus,Transport,Cash,10,EXPENSE
12/11/2023,Adjust balance,,Savings Bank,2,EXPENSE
12/11/2023,Snacks,Food & Drinks,Savings Bank,30,EXPENSE
12/11/2023,Auto,Transport,Savings Bank,20,EXPENSE
12/10/2023,Bonda,Food & Drinks,Savings Bank,30,EXPENSE
12/9/2023,Snacks,Food & Drinks,Savings Bank,130,EXPENSE
12/9/2023,Gpay,Bills & Fees,Savings Bank,25,INCOME
12/9/2023,,,Metro Card,2,EXPENSE
12/9/2023,Auto,Transport,Cash,20,EXPENSE
12/8/2023,Snacks,Food & Drinks,Savings Bank,70,EXPENSE
12/8/2023,Adjust balance,,Savings Bank,5,EXPENSE
12/8/2023,Printouts,Bills & Fees,Savings Bank,10,EXPENSE
12/8/2023,Coke,Food & Drinks,Savings Bank,15,EXPENSE
12/8/2023,Adjust balance,,Cash,95,INCOME
12/7/2023,Auto,Transport,Savings Bank,20,EXPENSE
12/7/2023,Withdraw,,Savings Bank,500,EXPENSE
12/7/2023,Auto,Transport,Cash,20,EXPENSE
12/7/2023,Adjust balance,,Cash,20,EXPENSE
12/7/2023,Bus,Transport,Cash,10,EXPENSE
12/6/2023,Bus,Transport,Cash,10,EXPENSE
12/6/2023,Help,,Savings Bank,0,TRANSFER
12/6/2023,Auto,Transport,Savings Bank,20,EXPENSE
12/6/2023,Adjust balance,,Cash,80,INCOME
12/6/2023,Auto,Transport,Cash,20,EXPENSE
12/6/2023,Bus,Transport,Cash,10,EXPENSE
12/5/2023,Bus,Transport,Cash,10,EXPENSE
12/5/2023,Auto,Transport,Cash,20,EXPENSE
12/4/2023,Snacks,Food & Drinks,Savings Bank,75,EXPENSE
12/4/2023,Jalebi,Food & Drinks,Savings Bank,50,EXPENSE
12/4/2023,Bus,Transport,Cash,10,EXPENSE
12/4/2023,Auto,Transport,Savings Bank,20,EXPENSE
12/2/2023,Bus,Transport,Cash,10,EXPENSE
12/2/2023,RtA,Transport,Metro Card,35,EXPENSE
12/1/2023,Bus,Transport,Cash,20,EXPENSE
12/1/2023,Adjust balance,,Cash,10,EXPENSE
12/1/2023,Chotu,Bills & Fees,Savings Bank,220,INCOME
12/1/2023,AtrR,Transport,Metro Card,35,EXPENSE
11/29/2023,RtA,Transport,Metro Card,35,EXPENSE
11/29/2023,AtrR,Transport,Metro Card,35,EXPENSE
11/29/2023,Bus,Transport,Cash,20,EXPENSE
11/29/2023,Biryani 🍚,Food & Drinks,Savings Bank,520,EXPENSE
11/29/2023,Shawarma 🌯,Food & Drinks,Savings Bank,140,EXPENSE
11/29/2023,Lunch payup,Food & Drinks,Savings Bank,552,EXPENSE
11/29/2023,Baba,Bills & Fees,Savings Bank,"10,000.00",EXPENSE
11/29/2023,Salary,,Savings Bank,"22,283.00",INCOME
11/29/2023,Chotu,Bills & Fees,Savings Bank,20,EXPENSE
11/28/2023,Auto,Transport,Cash,20,EXPENSE
11/28/2023,Juice,Food & Drinks,Savings Bank,20,EXPENSE
11/27/2023,AtrR,Transport,Metro Card,35,EXPENSE
11/26/2023,Bus,Transport,Cash,10,EXPENSE
11/26/2023,Snacks,Food & Drinks,Savings Bank,30,EXPENSE
11/26/2023,Shampoo,Bills & Fees,Savings Bank,4,EXPENSE
11/25/2023,Auto,Transport,Cash,20,EXPENSE
11/25/2023,Adjust balance,,Savings Bank,19.2,EXPENSE
11/25/2023,Exam fees,Bills & Fees,Savings Bank,800,EXPENSE
11/24/2023,Snacks,Food & Drinks,Savings Bank,35,EXPENSE
11/23/2023,Bus,Transport,Cash,10,EXPENSE
11/23/2023,AtrR,Transport,Metro Card,35,EXPENSE
11/23/2023,Something,Bills & Fees,Savings Bank,50,EXPENSE
11/22/2023,Recharge,,Savings Bank,0,TRANSFER
11/22/2023,AtrR,Transport,Metro Card,35,EXPENSE
11/22/2023,Bus,Transport,Cash,10,EXPENSE
11/21/2023,Curd,Bills & Fees,Savings Bank,46,EXPENSE
11/21/2023,Snacks,Food & Drinks,Savings Bank,30,EXPENSE
11/21/2023,Bus,Transport,Cash,10,EXPENSE
11/21/2023,Chotu pass,Bills & Fees,Savings Bank,200,EXPENSE
11/21/2023,AtrR,Transport,Metro Card,35,EXPENSE
11/21/2023,Recharge,Bills & Fees,Savings Bank,259,EXPENSE
11/20/2023,Bus,Transport,Cash,10,EXPENSE
11/20/2023,Maa,Bills & Fees,Cash,50,EXPENSE
11/20/2023,AtR,Transport,Metro Card,35,EXPENSE
11/19/2023,Adjust balance,,Cash,20,INCOME
11/18/2023,Bus pass,Transport,Savings Bank,430,EXPENSE
11/18/2023,Auto,Transport,Cash,20,EXPENSE
11/18/2023,Bus,Transport,Cash,10,EXPENSE
11/17/2023,Withdraw,,Savings Bank,0,TRANSFER
11/17/2023,Saman,Bills & Fees,Savings Bank,153,EXPENSE
11/17/2023,Bus,Transport,Cash,10,EXPENSE
11/17/2023,AtR,Transport,Metro Card,35,EXPENSE
11/16/2023,RtA,Transport,Metro Card,35,EXPENSE
11/16/2023,Bus,Transport,Cash,10,EXPENSE
11/16/2023,Adjust balance,,Cash,20,EXPENSE
11/16/2023,AtR,Transport,Metro Card,35,EXPENSE
11/16/2023,Recharge,,Savings Bank,0,TRANSFER
11/15/2023,AtR,Transport,Savings Bank,35,EXPENSE
11/14/2023,Adjust balance,,Savings Bank,13.2,INCOME
11/14/2023,Auto,Transport,Cash,20,EXPENSE
11/14/2023,Maa,,Cash,20,EXPENSE
11/13/2023,Print,Bills & Fees,Savings Bank,100,EXPENSE
11/13/2023,AtR,Transport,Savings Bank,35,EXPENSE
11/12/2023,Snacks,Food & Drinks,Savings Bank,70,EXPENSE
11/12/2023,Clothes,Bills & Fees,Savings Bank,"1,050.00",EXPENSE
11/12/2023,Clothes,Bills & Fees,Savings Bank,"1,607.00",EXPENSE
11/11/2023,Snacks,Food & Drinks,Savings Bank,105,EXPENSE
11/11/2023,Snacks,Food & Drinks,Savings Bank,140,EXPENSE
11/11/2023,Bus,Transport,Cash,10,EXPENSE
11/11/2023,Auto,Transport,Cash,20,EXPENSE
11/10/2023,Haircut,Bills & Fees,Savings Bank,150,EXPENSE
11/10/2023,Bus,Transport,Cash,10,EXPENSE
11/10/2023,RtA,Transport,Metro Card,35,EXPENSE
11/10/2023,AtR,Transport,Metro Card,35,EXPENSE
11/9/2023,AtR,Transport,Metro Card,35,EXPENSE
11/9/2023,RtA,Transport,Metro Card,35,EXPENSE
11/9/2023,Bus,Transport,Cash,10,EXPENSE
11/8/2023,RtA,Transport,Metro Card,35,EXPENSE
11/8/2023,AtR,Transport,Metro Card,35,EXPENSE
11/8/2023,DishTV,Bills & Fees,Savings Bank,220,EXPENSE
11/8/2023,Juice,Food & Drinks,Savings Bank,10,EXPENSE
11/8/2023,Recharge,,Savings Bank,0,TRANSFER
11/7/2023,RtA,Transport,Metro Card,35,EXPENSE
11/7/2023,Electricity,Bills & Fees,Savings Bank,774,EXPENSE
11/7/2023,AtR,Transport,Metro Card,35,EXPENSE
11/7/2023,Rapido,Transport,Savings Bank,44,EXPENSE
11/6/2023,AtR,Transport,Metro Card,35,EXPENSE
11/5/2023,Maida,Bills & Fees,Savings Bank,25,EXPENSE
11/5/2023,Adjust,,Savings Bank,30,EXPENSE
11/4/2023,Sid,Food & Drinks,Savings Bank,140,EXPENSE
11/4/2023,Printouts,Bills & Fees,Savings Bank,385,EXPENSE
11/4/2023,Treat,Food & Drinks,Savings Bank,650,EXPENSE
11/3/2023,Chotu,Bills & Fees,Savings Bank,"2,400.00",INCOME
11/3/2023,Seminar print,Bills & Fees,Savings Bank,104,EXPENSE
11/3/2023,AtR,Transport,Metro Card,35,EXPENSE
11/2/2023,Amazon,Bills & Fees,Savings Bank,"1,899.00",EXPENSE
11/2/2023,AtR,Transport,Metro Card,35,EXPENSE
11/1/2023,Grocery,Bills & Fees,Savings Bank,"2,320.78",EXPENSE
11/1/2023,Biryani,Food & Drinks,Savings Bank,520,EXPENSE
11/1/2023,Recharge,,Savings Bank,0,TRANSFER
11/1/2023,AtR,Transport,Metro Card,35,EXPENSE
11/1/2023,Bus,Transport,Cash,10,EXPENSE
11/1/2023,Bus,Transport,Cash,10,EXPENSE
11/1/2023,Shampoo,Bills & Fees,Savings Bank,4,EXPENSE
10/31/2023,Salary,Bills & Fees,Savings Bank,"11,033.00",INCOME
10/31/2023,Bus,Transport,Cash,10,EXPENSE
10/31/2023,AtR,Transport,Metro Card,35,EXPENSE
10/30/2023,Bus,Transport,Cash,20,EXPENSE
10/30/2023,Bus,Transport,Cash,20,EXPENSE
10/28/2023,Snacks,Food & Drinks,Savings Bank,30,EXPENSE
10/27/2023,AtR,Transport,Metro Card,35,EXPENSE
10/27/2023,Bus,Transport,Cash,10,EXPENSE
10/27/2023,Recharge,,Savings Bank,0,TRANSFER
10/26/2023,AtR,Transport,Metro Card,35,EXPENSE
10/26/2023,Bus,Transport,Cash,10,EXPENSE
10/26/2023,Chotu,Bills & Fees,Savings Bank,200,EXPENSE
10/26/2023,Bus,Transport,Cash,10,EXPENSE
10/25/2023,Adjust balance,,Metro Card,35,EXPENSE
10/25/2023,Adjust balance,,Cash,44,EXPENSE
10/25/2023,Nidhish Payup,Bills & Fees,Savings Bank,60,EXPENSE
10/25/2023,Recharge,Bills & Fees,Savings Bank,470.82,EXPENSE
10/25/2023,Baba,Bills & Fees,Savings Bank,600,INCOME
10/24/2023,Biryani 🍚,Food & Drinks,Savings Bank,356,EXPENSE
10/24/2023,Maa,Bills & Fees,Savings Bank,200,INCOME
10/24/2023,Egg Roll 🌯,Food & Drinks,Savings Bank,140,EXPENSE
10/24/2023,Bus Pass 💳,Transport,Savings Bank,440,EXPENSE
10/24/2023,Adjust,Bills & Fees,Savings Bank,40,EXPENSE
10/23/2023,Rapido 🚲,Transport,Savings Bank,74,EXPENSE
10/23/2023,Adjust,Bills & Fees,Savings Bank,10,EXPENSE
10/22/2023,Egg roll 🌯,Food & Drinks,Savings Bank,160,EXPENSE
10/22/2023,Nidhish Paid,Bills & Fees,Savings Bank,60,INCOME
